COD;RUA;SAL;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;LAT;LONG
350600305000134;CRUZAMENTO DA RUA JOAQUIM RADICOPA COM A VIELA.;1762.46;;;;;-22.305075100;-49.0917939000
350600305000247;CRUZAMENTO DA RUA GALVÃO DE CASTRO COM A AVENIDA DUQUE DE CAXIAS.;1762.31;;;;;-22.328044700;-49.0459870000
350600305000067;RUA QUINTINO BOCAIÚVA COM A RUA DOMICIANO SILVA.;1761.92;;;;;-25.406470900;-49.2501197000
350600305000005;RUA AFONSO PENA COM A RUA CARLOS MARQUES.;1755.65;;;;;-30.056588600;-51.2172076000
350600305000080;RUA SILVÉRIO SPINELLI COM A RUA ANTÔNIO PEREIRA.;1748.59;;;;;-22.331355400;-49.1011649000
350600305000479;CRUZAMENTO DA RUA ALTO JURUÁ COM A RUA JOSÉ BONIFÁCIO.;1743.19;;;;;-22.307985500;-49.0969348000
350600305000053;RUA COMENDADOR LEITE COM A RUA BOA ESPERANÇA.;1735.61;;;;;-22.239977100;-43.7037248000
350600305000016; RUA PRIMEIRO DE MAIO COM A RUA OLAVO BILAC.;1734.27;;;;;-22.807950200;-47.2349406000
350600305000241;CRUZAMENTO DA RUA WALTER BERALDO COM A AVENIDA ROSA MALANDRINO MONDELLI.;1722.02;;;;;-22.307542500;-49.0503404000
350600305000118;CRUZAMENTO DA RUA ANTÔNIO PEREIRA COM A RUA SILVÉRIO SPINELLI.;1721.38;;;;;-11.225069900;-41.8708853000
350600305000187;ENTRONCAMENTO DA RODOVIA MARECHAL RONDON SP-300 COM O PROLONGAMENTO DA RUA EMÍLIO VIEGAS.;1721.32;;;;;-16.382676000;-39.0452781000
350600305000022; AVENIDA NACOES UNIDAS COM OS TRILHOS DA FERROBAN.;1717.10;;;;;-22.849811700;-43.6146418000
350600305000052;RUA AFONSO PENA COM A RUA TOMÉ DE SOUZA.;1700.66;;;;;-30.056588600;-51.2172076000
350600305000483;CRUZAMENTO DA RUA ALTO JURUÁ COM A RUA SANTOS DUMONT.;1691.74;;;;;-22.307985500;-49.0969348000
350600305000030; RUA CÉLIO DAIBEM COM A RUA JOSÉ AIELLO.;1674.01;;;;;-22.330879400;-49.0813202000
350600305000474;LAR E ESCOLA RAFAEL MAURICIO - LOCALIZADO NA RODOVIA BAURU-IACANGA KM 345.;1670.82;;;;;-22.319765000;-49.0092803000
350600305000004;RUA PADRE NÓBREGA COM A RUA CARLOS MARQUES.;1665.97;;;;;-20.132170100;-40.2014263000
350600305000085;RUA ANICETO ABELHA COM A RUA SILVA JARDIM.;1656.59;;;;;-22.309451500;-49.0919656000
350600305000166;CRUZAMENTO DA RUA ALEXANDRE FÁVERO COM A RUA ANTONIO PEREIRA.;1645.48;;;;;-22.334818100;-49.1073578000
350600305000098;CRUZAMENTO DA RUA AIMORÉS COM OS TRILHOS DA FERROBAN.;1645.45;;;;;-5.106612800;-42.8103603000
350600305000054;RUA SÃO PAULO COM A RUA BOA ESPERANÇA.;1641.78;;;;;-14.665974000;-52.3549652000
350600305000242;CRUZAMENTO DA RUA ALAGOAS COM A AVENIDA RODRIGUES ALVES.;1640.66;;;;;-22.858896500;-47.2023525000
